id	name	charge	chemformula	compartment	fixed	Legend	AltNames
C00541	Cob(II)alamin		C62H88CoN13O14P				Vitamin B12r
C06715	3-Oxopimeloyl-CoA		C28H44N7O20P3S				3-Ketopimelyl-CoA
C06749	6-Hydroxycyclohex-1-ene-1-carbonyl-CoA		C28H44N7O18P3S				6-Hydroxycyclohex-1-enecarbonyl-CoA;6-Hydroxycyclohex-1-ene-1-carboxyl-CoA
C00009	Orthophosphate		H3PO4				Phosphate;Phosphoric acid;Orthophosphoric acid
C00008	ADP		C10H15N5O10P2				Adenosine 5'-diphosphate
C00007	Oxygen		O2				O2
C00006	NADP+		C21H29N7O17P3				NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+
C00005	NADPH		C21H30N7O17P3				TPNH;Reduced nicotinamide adenine dinucleotide phosphate
C00004	NADH		C21H29N7O14P2				DPNH;Reduced nicotinamide adenine dinucleotide
C00003	NAD+		C21H28N7O14P2				NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+
C00002	ATP		C10H16N5O13P3				Adenosine 5'-triphosphate
C00001	H2O		H2O				Water
C17551	2-Polyprenyl-6-hydroxyphenol		C11H14O2(C5H8)n				3-Polyprenylcatechol
C17552	2-Polyprenyl-6-methoxyphenol		C12H16O2(C5H8)n				
C17554	3-Polyprenyl-4,5-dihydroxybenzoate		C12H14O4(C5H8)n				3,4-Dihydroxy-5-polyprenylbenzoate
C17559	3-Polyprenyl-4-hydroxy-5-methoxybenzoate		C13H16O4(C5H8)n				
C04253	Electron-transferring flavoprotein		Not found				Electron-transfer flavoprotein
C11062	4-Hydroxybutyryl-CoA		C25H42N7O18P3S				4-Hydroxybutanoyl-CoA
C00399	Ubiquinone		C14H18O4(C5H8)n				Coenzyme Q;CoQ;Q
C06027	L-erythro-3-Methylmalyl-CoA		C26H42N7O20P3S				beta-Methylmalyl-CoA;(2R,3S)-2-Methylmalyl-CoA;L-erythro-beta-Methylmalyl-CoA;(2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA
C00139	Oxidized ferredoxin		Not found				Oxidized ferredoxin [iron-sulfur] cluster
C01000	Ferrocytochrome c2		Not found				
C00390	Ubiquinol		C14H20O4(C5H8)n				QH2;CoQH2
C05811	2-Octaprenyl-6-hydroxyphenol		C46H70O2				3-Octaprenylcatechol
C00311	Isocitrate		C6H8O7				Isocitric acid;1-Hydroxytricarballylic acid;1-Hydroxypropane-1,2,3-tricarboxylic acid
C00887	Nitrous oxide		N2O				Dinitrogen monoxide;Dinitrogen oxide;N2O
C00091	Succinyl-CoA		C25H40N7O19P3S				Succinyl coenzyme A
C09820	Benzoylsuccinyl-CoA		C32H44N7O20P3S				2-Benzoylsuccinyl-CoA
C09821	6-Oxocyclohex-1-ene-1-carbonyl-CoA		C28H42N7O18P3S				6-Ketoxycyclohex-1-ene-1-carboxyl-CoA
C20386	Biotin sulfoxide		C10H16N2O4S				
C00071	Aldehyde		CHOR				RCHO
C00074	Phosphoenolpyruvate		C3H5O6P				Phosphoenolpyruvic acid;PEP
C17568	Ubiquinone-6		C39H58O4				Coenzyme Q6
C17569	Ubiquinone-8		C49H74O4				Coenzyme Q8
C01011	(3S)-Citramalyl-CoA		C26H42N7O20P3S				L-Citramalyl-CoA;(S)-Citramalyl-CoA;(3S)-3-Carboxy-3-hydroxybutanoyl-CoA
C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone		C12H14O3(C5H8)n				
C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone		C13H16O3(C5H8)n				
C17562	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone		C13H16O4(C5H8)n				
C00084	Acetaldehyde		C2H4O				Ethanal
C00083	Malonyl-CoA		C24H38N7O19P3S				Malonyl coenzyme A
C00244	Nitrate		HNO3				Nitric acid
C00080	H+		H				Hydron
C00035	GDP		C10H15N5O11P2				Guanosine 5'-diphosphate;Guanosine diphosphate
C00088	Nitrite		HNO2				
C03576	Coenzyme M		C2H6O3S2				2-Mercaptoethanesulfonate;Reduced coenzyme M;HS-CoM;CoM
C05381	3-Carboxy-1-hydroxypropyl-ThPP		C16H25N4O10P2S				Succinate semialdehyde-thiamin diphosphate
C01013	3-Hydroxypropanoate		C3H6O3				3-Hydroxypropanoic acid;3-Hydroxypropionate;3-Hydroxypropionic acid;Hydracrylic acid
C00488	Formamide		CH3NO				Methanamide
C00169	Carbamoyl phosphate		CH4NO5P				
C06058	Nitroalkane		NO2R				
C00877	Crotonoyl-CoA		C25H40N7O17P3S				Crotonyl-CoA;2-Butenoyl-CoA;trans-But-2-enoyl-CoA;But-2-enoyl-CoA;(E)-But-2-enoyl-CoA
C00068	Thiamin diphosphate		C12H19N4O7P2S				Thiamine diphosphate;Thiamin pyrophosphate;TPP;ThPP
C06028	2-Methylfumaryl-CoA		C26H40N7O19P3S				Mesaconyl-CoA;Mesaconyl-C1-CoA;(E)-3-Carboxy-2-methylprop-2-enoyl-CoA
C00100	Propanoyl-CoA		C24H40N7O17P3S				Propionyl-CoA;Propionyl coenzyme A
C00061	FMN		C17H21N4O9P				Riboflavin-5-phosphate;Flavin mononucleotide
C00060	Carboxylate		CO2R				R-COOH;Monocarboxylate;Carboxylic acid
C00064	L-Glutamine		C5H10N2O3				L-2-Aminoglutaramic acid
C04832	Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide		C13H26NO10PS3				Coenzyme M-HTP heterodisulfide;CoM-S-S-CoB;N-{7-[(2-Sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine
C01894	Biotinyl-CoA		C31H50N9O18P3S2				
C05921	Biotinyl-5'-AMP		C20H28N7O9PS				
C01144	(S)-3-Hydroxybutanoyl-CoA		C25H42N7O18P3S				(S)-3-Hydroxybutyryl-CoA
C05313	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate		C38H56O4				
C01417	Cyanate		CHNO				Cyanic acid
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone		C38H56O3				
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone		C38H56O4				
C05807	2-Polyprenylphenol		C11H14O(C5H8)n				
C05802	2-Hexaprenyl-6-methoxyphenol		C37H56O2				
C05803	2-Hexaprenyl-6-methoxy-1,4-benzoquinone		C37H54O3				
C05809	3-Octaprenyl-4-hydroxybenzoate		C47H70O3				4-Hydroxy-3-octaprenylbenzoate
C00989	4-Hydroxybutanoic acid		C4H8O3				4-Hydroxybutanoate;4-Hydroxybutyric acid
C04348	L-Malyl-CoA		C25H40N7O20P3S				(S)-Malyl-CoA;Malyl-CoA;(3S)-3-Carboxy-3-hydroxypropanoyl-CoA;(3S)-3-Carboxy-3-hydroxypropionyl-CoA
C03885	3-Nonaprenyl-4-hydroxybenzoate		C52H78O3				Nonaprenyl-4-hydroxybenzoate
C00697	Nitrogen		N2				N2
C00158	Citrate		C6H8O7				Citric acid;2-Hydroxy-1,2,3-propanetricarboxylic acid;2-Hydroxytricarballylic acid
C18091	Ethylnitronate		C2H4NO2				
C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA		C28H42N7O17P3S				Cyclohexa-1,5-dienecarbonyl-CoA;S-1,5-Cyclohexadiene-1-carboxylate coenzymeA
C00853	Cob(I)alamin		C62H89CoN13O14P				Cbl;Vitamin B12s
C09817	Benzylsuccinyl-CoA		C32H46N7O19P3S				(R)-2-Benzylsuccinyl-CoA
C09816	Benzylsuccinate		C11H12O4				(R)-2-Benzylsuccinate
C05668	3-Hydroxypropionyl-CoA		C24H40N7O18P3S				3-Hydroxypropionyl coenzyme A;3-Hydroxypropanoyl-CoA;3-Hydroxypropanoyl coenzymeA;beta-Hydroxypropionyl-CoA
C09819	(Hydroxymethylphenyl)succinyl-CoA		C32H46N7O20P3S				
C09818	E-Phenylitaconyl-CoA		C32H44N7O19P3S				(E)-2-Benzylidenesuccinyl-CoA
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone		C47H70O3				
C05812	2-Octaprenyl-6-methoxyphenol		C47H72O2				
C00997	Ferricytochrome c2		Not found				
C05810	2-Octaprenylphenol		C46H70O				
C05815	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone		C48H72O4				
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone		C48H72O3				
C00180	Benzoate		C7H6O2				Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid
C00120	Biotin		C10H16N2O3S				D-Biotin;Vitamin H;Coenzyme R
C00122	Fumarate		C4H4O4				Fumaric acid;trans-Butenedioic acid
C00125	Ferricytochrome c		C42H44FeN8O8S2R4				Cytochrome c3+
C00126	Ferrocytochrome c		C42H44FeN8O8S2R4				Cytochrome c2+;Reduced cytochrome c
C00282	Hydrogen		H2				H2
C01967	Ubiquinone-9		C54H82O4				Ubiquinone-45;Coenzyme Q(9)
C00288	HCO3-		HCO3				Bicarbonate;Hydrogen carbonate;Acid carbonate
C00683	(S)-Methylmalonyl-CoA		C25H40N7O19P3S				(S)-Methylmalonyl-coenzyme A;(2S)-Methylmalonyl-CoA;D-Methylmalonyl-CoA
C02949	4-Hydroxybenzoyl-CoA		C28H40N7O18P3S				
C05379	Oxalosuccinate		C6H6O7				Oxalosuccinic acid
C05847	all-trans-Polyprenyl diphosphate		C5H12O7P2(C5H8)n				Polyisopentenylpyrophosphate;Polyisopentenyldiphosphate;trans-Polyisopentenyldiphosphate;Polyprenyl diphosphate
C01563	Carbamate		CH3NO2				Carbamic acid;Aminoformic acid
C00512	S-Benzoate coenzyme A		C28H40N7O17P3S				Benzoyl-CoA
C13425	3-Hexaprenyl-4-hydroxybenzoate		C37H54O3				3-Hexaprenyl-4-hydroxybenzoic acid
C00726	Nitrile		CNR				R-CN
C01847	Reduced FMN		C17H23N4O9P				FMNH2
C00194	Cobamide coenzyme		C72H100CoN18O17P				Adenosylcobalamin;Adenosylcob(III)alamin;Deoxyadenosylcobalamin;Cobamamide;Vitamin B12 coenzyme;5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide;(5'-Deoxy-5'-adenosyl)cobamide coenzyme;(5,6-Dimethylbenzimidazolyl)cobamide coenzyme;alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme;5'-Deoxy-5'-adenosylcobalamin;5'-Deoxy-5'-adenosyl vitamin B12;5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide;5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide;Calomide;Cobalamin coenzyme;Coenzyme B12;DMBC coenzyme;Dibencozide;Funacomide
C00058	Formate		CH2O2				Methanoic acid;Formic acid
C00192	Hydroxylamine		NH3O				NH2OH
C00036	Oxaloacetate		C4H4O5				Oxalacetic acid;Oxaloacetic acid;2-Oxobutanedioic acid;2-Oxosuccinic acid;keto-Oxaloacetate
C06714	3-Hydroxypimeloyl-CoA		C28H46N7O20P3S				3-Hydroxypimelyl-CoA
C15973	Enzyme N6-(dihydrolipoyl)lysine		C8H16NOS2R				Dihydrolipoamide-E
C15972	Enzyme N6-(lipoyl)lysine		C8H14NOS2R				Lipoamide-E
C00033	Acetate		C2H4O2				Acetic acid;Ethanoic acid
C00030	Reduced acceptor		Not found				AH2;Hydrogen-donor;Donor
C00138	Reduced ferredoxin		Not found				Reduced ferredoxin [iron-sulfur] cluster
C05848	4-Hydroxy-3-polyprenylbenzoate		C12H14O3(C5H8)n				
C00332	Acetoacetyl-CoA		C25H40N7O18P3S				Acetoacetyl coenzyme A;3-Acetoacetyl-CoA
C04570	Reduced electron-transferring flavoprotein		Not found				Reduced electron-transfer flavoprotein
C03226	3-Demethylubiquinone-9		C53H80O4				
C00527	Glutaryl-CoA		C26H42N7O19P3S				
C05200	3-Hexaprenyl-4,5-dihydroxybenzoate		C37H54O4				
C00042	Succinate		C4H6O4				Succinic acid;Butanedionic acid;Ethylenesuccinic acid
C00992	Aquacob(III)alamin		C62H90CoN13O15P				Aquacobalamin
C00047	L-Lysine		C6H14N2O2				Lysine acid;2,6-Diaminohexanoic acid
C00417	cis-Aconitate		C6H6O6				cis-Aconitic acid
C00044	GTP		C10H16N5O14P3				Guanosine 5'-triphosphate
C01213	(R)-Methylmalonyl-CoA		C25H40N7O19P3S				L-Methylmalonyl-CoA
C00048	Glyoxylate		C2H2O3				Glyoxalate;Glyoxylic acid
